PATH,VALUE,LABEL
builds[].build_name,6.1.67-1,IRRELEVANT
builds[].id,6.1.67-1,IRRELEVANT
components[].id,6.1.67-1,IRRELEVANT
format,6.1.67-1,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,6.1.67-1,IRRELEVANT
components[].id,6.1.67-1,IRRELEVANT
artifacts[].issues[].cvss,6.1.67-1,IRRELEVANT
artifacts[].issues[].Package_Version,6.1.67-1,IRRELEVANT
MetaData.ImageID,6.1.67-1,IRRELEVANT
artifacts[].issues[].Package_Version,6.1.67-1,IRRELEVANT
MetaData,6.1.67-1,IRRELEVANT
Results[].vulnerabilities[].PkgName,6.1.67-1,IRRELEVANT
timestamp,6.1.67-1,IRRELEVANT
artifacts[].issues[].Package_Version,6.1.67-1,IRRELEVANT
builds[].id,6.1.67-1,IRRELEVANT
components[].id,6.1.67-1,IRRELEVANT
builds,6.1.67-1,IRRELEVANT
artifacts[].issues[].PackageName,6.1.67-1,IRRELEVANT
components[].id,6.1.67-1,IRRELEVANT
MetaData,6.1.67-1,IRRELEVANT
artifacts[].issues[].PackageName,6.1.67-1,IRRELEVANT
MetaData,6.1.67-1,IRRELEVANT
MetaData.OS,6.1.67-1,IRRELEVANT
version,6.1.67-1,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,6.1.67-1,IRRELEVANT
artifacts[].issues[].cvss,6.1.67-1,IRRELEVANT
timestamp,6.1.67-1,IRRELEVANT
ImageId,6.1.67-1,IRRELEVANT
timestamp,6.1.67-1,IRRELEVANT
ImageId,6.1.67-1,IRRELEVANT
timestamp,6.1.67-1,IRRELEVANT
artifacts[].issues[].Package_Version,6.1.67-1,IRRELEVANT
timestamp,6.1.67-1,IRRELEVANT
ImageId,6.1.67-1,IRRELEVANT
MetaData.OS,6.1.67-1,IRRELEVANT
MetaData,6.1.67-1,IRRELEVANT
version,6.1.67-1,IRRELEVANT
MetaData.ImageID,6.1.67-1,IRRELEVANT
artifacts[].issues[].cvss,6.1.67-1,IRRELEVANT
timestamp,6.1.67-1,IRRELEVANT
artifacts[].issues[].cvss,6.1.67-1,IRRELEVANT
resultsPerPage,6.1.67-1,IRRELEVANT
builds[].build_id,6.1.67-1,IRRELEVANT
timestamp,6.1.67-1,IRRELEVANT
name,6.1.67-1,IRRELEVANT
builds[].build_name,6.1.67-1,IRRELEVANT
builds,6.1.67-1,IRRELEVANT
builds[].build_id,6.1.67-1,IRRELEVANT
builds[].id,6.1.67-1,IRRELEVANT
version,6.1.67-1,IRRELEVANT
MetaData,6.1.67-1,IRRELEVANT
version,6.1.67-1,IRRELEVANT
builds[].id,6.1.67-1,IRRELEVANT
resultsPerPage,6.1.67-1,IRRELEVANT
name,6.1.67-1,IRRELEVANT
builds[].id,6.1.67-1,IRRELEVANT
builds,6.1.67-1,IRRELEVANT
Resource.name,6.1.67-1,IRRELEVANT
Results[].vulnerabilities[].PkgName,6.1.67-1,IRRELEVANT
builds[].build_name,6.1.67-1,IRRELEVANT
artifacts[].issues[].PackageName,1:4.13+dfsg1-1+b1,IRRELEVANT
MetaData.ImageID,1:4.13+dfsg1-1+b1,IRRELEVANT
timestamp,1:4.13+dfsg1-1+b1,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,1:4.13+dfsg1-1+b1,IRRELEVANT
resultsPerPage,1:4.13+dfsg1-1+b1,IRRELEVANT
format,2.38.1-5+b1,IRRELEVANT
builds[].build_id,6.4-4,IRRELEVANT
artifacts[].issues[].PackageName,6.4-4,IRRELEVANT
timestamp,1:4.13+dfsg1-1+b1,IRRELEVANT
resultsPerPage,1:4.13+dfsg1-1+b1,IRRELEVANT
builds[].build_id,1:4.13+dfsg1-1+b1,IRRELEVANT
components[].id,1:4.13+dfsg1-1+b1,IRRELEVANT
Resource.name,1:4.13+dfsg1-1+b1,IRRELEVANT
timestamp,5.36.0-7+deb12u1,IRRELEVANT
builds[].build_name,5.36.0-7+deb12u1,IRRELEVANT
Results[].vulnerabilities[].PkgName,5.36.0-7+deb12u1,IRRELEVANT
builds[].build_name,3.06-4,IRRELEVANT
format,1.34+dfsg-1.2,IRRELEVANT
resultsPerPage,1.34+dfsg-1.2,IRRELEVANT
builds[].build_name,1.34+dfsg-1.2,IRRELEVANT
version,1.34+dfsg-1.2,IRRELEVANT
artifacts[].issues[].cvss,2.38.1-5+b1,IRRELEVANT
builds[].build_name,2.38.1-5+b1,IRRELEVANT
artifacts[].issues[].PackageName,1:1.2.13.dfsg-1,IRRELEVANT
timestamp,apt,IRRELEVANT
artifacts[].issues[].PackageName,bash,IRRELEVANT
ImageId,bsdutils,IRRELEVANT
resultsPerPage,coreutils,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,coreutils,IRRELEVANT
artifacts[].issues[].Package_Version,gcc-12-base,IRRELEVANT
MetaData.ImageID,gcc-12-base,IRRELEVANT
artifacts[].issues[].PackageName,gpgv,IRRELEVANT
artifacts[].issues[].Package_Version,libapt-pkg6.0,IRRELEVANT
version,libblkid1,IRRELEVANT
version,libc-bin,IRRELEVANT
artifacts[].issues[].PackageName,libc-bin,IRRELEVANT
timestamp,libc-bin,IRRELEVANT
MetaData,libc-bin,IRRELEVANT
name,libc-bin,IRRELEVANT
MetaData.ImageID,libc-bin,IRRELEVANT
timestamp,libc-bin,IRRELEVANT
artifacts[].issues[].cvss,libc-dev-bin,IRRELEVANT
timestamp,libc-dev-bin,IRRELEVANT
name,libc-dev-bin,IRRELEVANT
ImageId,libc-dev-bin,IRRELEVANT
builds[].build_name,libc-dev-bin,IRRELEVANT
builds[].id,libc-dev-bin,IRRELEVANT
artifacts[].issues[].PackageName,libc-dev-bin,IRRELEVANT
MetaData.OS,libc6,IRRELEVANT
format,libc6,IRRELEVANT
format,libc6,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,libc6,IRRELEVANT
components[].id,libc6,IRRELEVANT
MetaData,libc6,IRRELEVANT
MetaData,libc6,IRRELEVANT
builds[].id,libc6-dev,IRRELEVANT
builds[].build_id,libc6-dev,IRRELEVANT
builds[].id,libc6-dev,IRRELEVANT
format,libc6-dev,IRRELEVANT
MetaData.OS,libc6-dev,IRRELEVANT
format,libc6-dev,IRRELEVANT
artifacts[].issues[].PackageName,libc6-dev,IRRELEVANT
artifacts[].issues[].PackageName,libgcc-s1,IRRELEVANT
builds,libgcc-s1,IRRELEVANT
builds[].id,libgcrypt20,IRRELEVANT
artifacts[].issues[].cvss,libgnutls30,IRRELEVANT
format,libgssapi-krb5-2,IRRELEVANT
resultsPerPage,libk5crypto3,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,libkrb5-3,IRRELEVANT
resultsPerPage,libkrb5support0,IRRELEVANT
MetaData.OS,libmount1,IRRELEVANT
artifacts[].issues[].Package_Version,libsmartcols1,IRRELEVANT
Resource.name,libssl3,IRRELEVANT
ImageId,libssl3,IRRELEVANT
MetaData.OS,libssl3,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,libstdc++6,IRRELEVANT
name,libstdc++6,IRRELEVANT
MetaData.OS,libsystemd0,IRRELEVANT
artifacts[].issues[].Package_Version,libsystemd0,IRRELEVANT
MetaData,libsystemd0,IRRELEVANT
builds,libsystemd0,IRRELEVANT
Resource.name,libtinfo6,IRRELEVANT
format,libudev1,IRRELEVANT
artifacts[].issues[].PackageName,libudev1,IRRELEVANT
builds,libudev1,IRRELEVANT
Results[].vulnerabilities[].PkgName,libudev1,IRRELEVANT
builds,libuuid1,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,linux-libc-dev,IRRELEVANT
MetaData,linux-libc-dev,IRRELEVANT
version,linux-libc-dev,IRRELEVANT
components[].id,linux-libc-dev,IRRELEVANT
artifacts[].issues[].PackageName,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,linux-libc-dev,IRRELEVANT
timestamp,linux-libc-dev,IRRELEVANT
Resource.name,linux-libc-dev,IRRELEVANT
Resource.name,linux-libc-dev,IRRELEVANT
Resource.name,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].PkgName,linux-libc-dev,IRRELEVANT
artifacts[].issues[].Package_Version,linux-libc-dev,IRRELEVANT
timestamp,linux-libc-dev,IRRELEVANT
builds,linux-libc-dev,IRRELEVANT
components[].id,linux-libc-dev,IRRELEVANT
builds[].id,linux-libc-dev,IRRELEVANT
MetaData.OS,linux-libc-dev,IRRELEVANT
artifacts[].issues[].cvss,linux-libc-dev,IRRELEVANT
format,linux-libc-dev,IRRELEVANT
timestamp,linux-libc-dev,IRRELEVANT
builds[].build_name,linux-libc-dev,IRRELEVANT
artifacts[].issues[].Package_Version,linux-libc-dev,IRRELEVANT
MetaData.ImageID,linux-libc-dev,IRRELEVANT
builds,linux-libc-dev,IRRELEVANT
MetaData.ImageID,linux-libc-dev,IRRELEVANT
Resource.name,linux-libc-dev,IRRELEVANT
name,linux-libc-dev,IRRELEVANT
builds[].build_name,linux-libc-dev,IRRELEVANT
artifacts[].issues[].Package_Version,linux-libc-dev,IRRELEVANT
name,linux-libc-dev,IRRELEVANT
Resource.name,linux-libc-dev,IRRELEVANT
ImageId,linux-libc-dev,IRRELEVANT
builds[].build_id,linux-libc-dev,IRRELEVANT
artifacts[].issues[].cvss,linux-libc-dev,IRRELEVANT
MetaData,linux-libc-dev,IRRELEVANT
builds[].build_id,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,linux-libc-dev,IRRELEVANT
artifacts[].issues[].cvss,linux-libc-dev,IRRELEVANT
artifacts[].issues[].cvss,linux-libc-dev,IRRELEVANT
MetaData.ImageID,linux-libc-dev,IRRELEVANT
builds[].build_id,linux-libc-dev,IRRELEVANT
artifacts[].issues[].cvss,linux-libc-dev,IRRELEVANT
builds[].build_name,linux-libc-dev,IRRELEVANT
builds[].id,linux-libc-dev,IRRELEVANT
MetaData,linux-libc-dev,IRRELEVANT
builds[].id,linux-libc-dev,IRRELEVANT
Resource.name,linux-libc-dev,IRRELEVANT
builds[].id,linux-libc-dev,IRRELEVANT
artifacts[].issues[].PackageName,linux-libc-dev,IRRELEVANT
Resource.name,linux-libc-dev,IRRELEVANT
components[].id,linux-libc-dev,IRRELEVANT
Resource.name,linux-libc-dev,IRRELEVANT
builds[].build_id,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,linux-libc-dev,IRRELEVANT
format,linux-libc-dev,IRRELEVANT
artifacts[].issues[].PackageName,linux-libc-dev,IRRELEVANT
artifacts[].issues[].PackageName,linux-libc-dev,IRRELEVANT
builds,linux-libc-dev,IRRELEVANT
MetaData.ImageID,linux-libc-dev,IRRELEVANT
format,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,linux-libc-dev,IRRELEVANT
ImageId,linux-libc-dev,IRRELEVANT
MetaData,linux-libc-dev,IRRELEVANT
builds[].build_id,linux-libc-dev,IRRELEVANT
builds[].build_name,linux-libc-dev,IRRELEVANT
builds[].build_name,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].PkgName,linux-libc-dev,IRRELEVANT
builds[].build_id,linux-libc-dev,IRRELEVANT
name,linux-libc-dev,IRRELEVANT
builds[].build_name,linux-libc-dev,IRRELEVANT
Resource.name,linux-libc-dev,IRRELEVANT
version,linux-libc-dev,IRRELEVANT
name,linux-libc-dev,IRRELEVANT
builds,linux-libc-dev,IRRELEVANT
builds[].id,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].PkgName,linux-libc-dev,IRRELEVANT
MetaData.OS,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].PkgName,linux-libc-dev,IRRELEVANT
builds[].id,linux-libc-dev,IRRELEVANT
MetaData,linux-libc-dev,IRRELEVANT
MetaData,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,linux-libc-dev,IRRELEVANT
components[].id,linux-libc-dev,IRRELEVANT
artifacts[].issues[].PackageName,linux-libc-dev,IRRELEVANT
ImageId,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].PkgName,linux-libc-dev,IRRELEVANT
artifacts[].issues[].Package_Version,linux-libc-dev,IRRELEVANT
ImageId,linux-libc-dev,IRRELEVANT
builds[].id,linux-libc-dev,IRRELEVANT
MetaData,linux-libc-dev,IRRELEVANT
name,linux-libc-dev,IRRELEVANT
name,linux-libc-dev,IRRELEVANT
builds[].build_id,linux-libc-dev,IRRELEVANT
MetaData.ImageID,linux-libc-dev,IRRELEVANT
builds,linux-libc-dev,IRRELEVANT
name,linux-libc-dev,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,login,IRRELEVANT
builds[].id,login,IRRELEVANT
ImageId,login,IRRELEVANT
MetaData.OS,login,IRRELEVANT
resultsPerPage,login,IRRELEVANT
name,mount,IRRELEVANT
format,ncurses-base,IRRELEVANT
artifacts[].issues[].cvss,ncurses-bin,IRRELEVANT
format,passwd,IRRELEVANT
Results[].vulnerabilities[].PkgName,passwd,IRRELEVANT
resultsPerPage,passwd,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,passwd,IRRELEVANT
MetaData.OS,passwd,IRRELEVANT
Results[].vulnerabilities[].PkgName,perl-base,IRRELEVANT
components[].id,perl-base,IRRELEVANT
Results[].vulnerabilities[].PkgName,perl-base,IRRELEVANT
artifacts[].issues[].Package_Version,sysvinit-utils,IRRELEVANT
resultsPerPage,tar,IRRELEVANT
builds,tar,IRRELEVANT
artifacts[].issues[].cvss,tar,IRRELEVANT
ImageId,tar,IRRELEVANT
version,util-linux,IRRELEVANT
format,util-linux-extra,IRRELEVANT
artifacts[].issues[].PackageName,zlib1g,IRRELEVANT
MetaData.ImageID,"It was found that apt-key in apt, all versions, do not correctly valid ...",IRRELEVANT
Results[].vulnerabilities[].PublishedDate,[Privilege escalation possible to other user than root],IRRELEVANT
Results[].vulnerabilities[].PkgName,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,IRRELEVANT
MetaData.OS,coreutils: Non-privileged session can escape to the parent session in chroot,IRRELEVANT
MetaData.OS,coreutils: race condition vulnerability in chown and chgrp,IRRELEVANT
artifacts[].issues[].Package_Version,gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64,IRRELEVANT
MetaData.ImageID,libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const,IRRELEVANT
builds[].id,denial of service issue (resource consumption) using compressed packets,IRRELEVANT
artifacts[].issues[].Package_Version,"It was found that apt-key in apt, all versions, do not correctly valid ...",IRRELEVANT
timestamp,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,IRRELEVANT
Resource.name,glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions,IRRELEVANT
ImageId,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,IRRELEVANT
MetaData,glibc: stack guard protection bypass,IRRELEVANT
MetaData.OS,glibc: running ldd on malicious ELF leads to code execution because of wrong size computation,IRRELEVANT
MetaData.ImageID,glibc: ASLR bypass using cache of thread stack and heap,IRRELEVANT
Results[].vulnerabilities[].PkgName,glibc: information disclosure of heap addresses of pthread_created thread,IRRELEVANT
builds[].build_id,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,IRRELEVANT
Resource.name,glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,IRRELEVANT
components[].id,glibc: stack guard protection bypass,IRRELEVANT
MetaData.ImageID,glibc: running ldd on malicious ELF leads to code execution because of wrong size computation,IRRELEVANT
ImageId,glibc: ASLR bypass using cache of thread stack and heap,IRRELEVANT
resultsPerPage,glibc: information disclosure of heap addresses of pthread_created thread,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,IRRELEVANT
components[].id,glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions,IRRELEVANT
builds,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,IRRELEVANT
name,glibc: stack guard protection bypass,IRRELEVANT
ImageId,glibc: running ldd on malicious ELF leads to code execution because of wrong size computation,IRRELEVANT
builds[].build_name,glibc: ASLR bypass using cache of thread stack and heap,IRRELEVANT
builds,glibc: information disclosure of heap addresses of pthread_created thread,IRRELEVANT
ImageId,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions,IRRELEVANT
builds[].build_name,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,IRRELEVANT
format,glibc: stack guard protection bypass,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,glibc: running ldd on malicious ELF leads to code execution because of wrong size computation,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,glibc: ASLR bypass using cache of thread stack and heap,IRRELEVANT
artifacts[].issues[].cvss,glibc: information disclosure of heap addresses of pthread_created thread,IRRELEVANT
name,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,IRRELEVANT
name,gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64,IRRELEVANT
builds,libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const,IRRELEVANT
artifacts[].issues[].PackageName,libgcrypt: ElGamal implementation doesn't have semantic security due to incorrectly encoded plaintexts possibly allowing to obtain sensitive information,IRRELEVANT
builds[].build_name,HTTPS: block-wise chosen-plaintext attack against SSL/TLS (BEAST),IRRELEVANT
MetaData.OS,krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c,IRRELEVANT
artifacts[].issues[].Package_Version,krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c,IRRELEVANT
artifacts[].issues[].cvss,krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c,IRRELEVANT
builds[].build_name,krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c,IRRELEVANT
artifacts[].issues[].PackageName,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,IRRELEVANT
builds[].build_name,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,IRRELEVANT
MetaData.ImageID,openssl: Generating excessively long X9.42 DH keys or checking excessively long X9.42 DH keys or parameters may be very slow,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,Dual_EC_DRBG: weak pseudo random number generator,IRRELEVANT
version,openssl: RSA authentication weakness,IRRELEVANT
artifacts[].issues[].Package_Version,gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64,IRRELEVANT
components[].id,libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const,IRRELEVANT
artifacts[].issues[].PackageName,TOCTOU race condition when updating file permissions and SELinux security contexts,IRRELEVANT
artifacts[].issues[].Package_Version,An issue was discovered in systemd 253. An attacker can modify a seale ...,IRRELEVANT
artifacts[].issues[].Package_Version,An issue was discovered in systemd 253. An attacker can truncate a sea ...,IRRELEVANT
builds[].build_id,An issue was discovered in systemd 253. An attacker can modify the con ...,IRRELEVANT
builds[].id,ncurses: segmentation fault via _nc_wrap_entry(),IRRELEVANT
Resource.name,TOCTOU race condition when updating file permissions and SELinux security contexts,IRRELEVANT
ImageId,An issue was discovered in systemd 253. An attacker can modify a seale ...,IRRELEVANT
builds[].build_id,An issue was discovered in systemd 253. An attacker can truncate a sea ...,IRRELEVANT
version,An issue was discovered in systemd 253. An attacker can modify the con ...,IRRELEVANT
artifacts[].issues[].cvss,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,IRRELEVANT
name,kernel: memory exhaustion via crafted Graphics Execution Manager (GEM) objects,IRRELEVANT
format,kernel: mounting a crafted f2fs filesystem image can lead to slab-out-of-bounds read access in f2fs_build_segment_manager in fs/f2fs/segment.c,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,kernel: out-of-bounds write in __remove_dirty_segment in fs/f2fs/segment.c,IRRELEVANT
resultsPerPage,low-privileged user privileges escalation,IRRELEVANT
name,descendant's dumpable setting with certain SUID binaries,IRRELEVANT
ImageId,Kernel: Slab-out-of-bound read in compare_netdev_and_ip,IRRELEVANT
timestamp,Kernel: x86/mm: a per-cpu entry area leak was identified through the init_cea_offsets function when prefetchnta and prefetcht2 instructions being used for the per-cpu entry area mapping to the user space,IRRELEVANT
artifacts[].issues[].Package_Version,kernel: vmwgfx: reference count issue leads to use-after-free in surface handling,IRRELEVANT
artifacts[].issues[].Package_Version,kernel: Out-Of-Bounds Read vulnerability in smbCalcSize,IRRELEVANT
name,kernel: inactive elements in nft_pipapo_walk,IRRELEVANT
name,kernel: heap out-of-bounds write in perf_read_group,IRRELEVANT
name,kernel: use-after-free caused by malicious USB device in drivers/media/usb/dvb-usb/dvb-usb-init.c,IRRELEVANT
builds,Improper return check in nbd_genl_status function in drivers/block/nbd.c,IRRELEVANT
builds[].build_id,kernel: task processes not being properly ended could lead to resource exhaustion,IRRELEVANT
Resource.name,ethtool when reading eeprom of device could lead to memory leak,IRRELEVANT
MetaData.OS,use-after-free in the packet processing context,IRRELEVANT
timestamp,kernel: KASLR Prefetch Bypass Breaks KPTI,IRRELEVANT
MetaData.OS,possibility of deadlock in libbpf function sock_hash_delete_elem,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,kernel: x86/mm: Randomize per-cpu entry area,IRRELEVANT
Results[].vulnerabilities[].PkgName,kernel: use-after-free in smb2_is_status_io_timeout(),IRRELEVANT
builds,use-after-free in setup_async_work(),IRRELEVANT
Results[].vulnerabilities[].PkgName,"In multiple functions of mem_protect.c, there is a possible way to acc ...",IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,kernel: incorrect check for error case in the memory_tier_init,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,sleeping function called from an invalid context in gsmld_write,IRRELEVANT
